date,code,open,high,low,close,volume,name,score,limit_date,wash_date,wash_turnover_rate,wash_turnover_tier,wash_turnover_min,wash_turnover_max,wash_float_market_cap,confirm_return,confirm_high_return,volume_ratio,buy_price,next_date,next_high_return,next_close_return,next_low_return,next_open_return,label_3,limit_day_return,limit_day_open_return,limit_day_amount,limit_day_turnover_rate,limit_day_vol_ratio_5,limit_day_vol_ratio_10,limit_day_vol_ratio_20,limit_day_amp,is_yizi,market_filter_ok,market_return,market_ma,limit_pool_name,limit_pool_turnover_rate,limit_pool_float_market_cap,limit_pool_total_market_cap,limit_pool_amount,limit_pool_seal_amount,limit_pool_first_limit_time,limit_pool_last_limit_time,limit_pool_open_board_count,limit_pool_prev_limit_time,limit_pool_first_limit_time_tier,limit_pool_first_limit_time_tier_rank,limit_pool_seal_strength_pct,prev_limit_time
2026-05-06,600367,23.48,23.89,23.07,23.81,41458248.0,,2.608257607520756,2026-04-29,2026-04-30,14.756208419799805,50e_100e,4.0,15.0,7556710581.54,0.014486578610992673,0.01789518534299117,1.1595997464214887,23.81,2026-05-07,0.005039899202015974,-0.0058798824023518215,-0.016379672406551693,-0.004619907601847939,False,0.09995262908574132,0.001894836570345726,,,1.2278805484765192,1.0839269869462937,1.261375940127303,0.10047393364928903,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,600135,11.38,11.66,11.35,11.46,32940191.0,,2.2892877440742834,2026-04-29,2026-04-30,8.569038391113281,50e_100e,4.0,15.0,6324300141.57,0.002624671916010568,0.02012248468941391,2.0268205524732266,11.46,2026-05-07,0.03141361256544495,0.011343804537521818,0.0,0.005235602094240788,True,0.1002004008016033,0.014028056112224352,,,1.209750710568442,0.9041385965086614,0.918402614620521,0.09253731343283578,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-07,603030,2.8,2.91,2.8,2.87,103900107.0,,5.249822910239325,2026-04-30,2026-05-06,10.200057029724121,lt_50e,5.0,20.0,3700583191.2000003,0.021352313167259718,0.03558718861209975,3.114591593513353,2.87,2026-05-08,0.09756097560975596,0.0662020905923344,0.0034843205574912606,0.010452961672473782,True,0.09958506224066377,0.08713692946058083,,,0.9752441488675101,0.8933888442516003,1.2172756256017256,0.011450381679389166,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
2026-05-07,603131,23.99,24.57,23.5,24.33,32919635.0,,4.620231408058176,2026-04-30,2026-05-06,11.855764389038086,50e_100e,4.0,15.0,8041975341.400001,0.0192710515291159,0.029325513196480912,2.6931262551465855,24.33,2026-05-08,0.047266748869708275,0.02959309494451312,-0.02178380600082197,-0.018906699547883155,True,0.10014655593551547,-0.0009770395701025336,,,1.6467706133248403,1.5548598396976143,1.9035310639945267,0.10230053842388642,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
2026-05-07,603726,25.46,26.18,25.2,26.06,10293320.0,,4.466900082279983,2026-04-30,2026-05-06,7.539421081542969,lt_50e,5.0,20.0,4687843356.0,0.026792750197005555,0.03152088258471242,1.7876250625794277,26.06,2026-05-08,0.008058326937835814,-0.009976976208748933,-0.01726784343821952,-0.002302379125095899,False,0.10004426737494465,0.027888446215139417,,,1.1089620521758383,1.708032235307077,2.4120656975096657,0.07343412526997861,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
2026-05-07,605099,49.29,51.88,48.01,50.89,10157398.0,,4.402096694602157,2026-04-30,2026-05-06,3.064464569091797,100e_300e,3.0,10.0,19887977755.88,0.027250706499798216,0.04723455793298359,1.6770260446223353,50.89,2026-05-08,0.031636863823933936,-0.011397131067007238,-0.03399489094124586,-0.01179013558655928,True,0.09995456610631526,0.019990913221263007,348438432.0,1.8273208141326904,1.4264205545192252,1.7407571545300273,1.446552589121874,0.07839643652561246,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
2026-05-07,001268,38.99,40.18,38.23,39.31,5153478.0,,3.7474174285649497,2026-04-30,2026-05-06,10.125408172607422,lt_50e,5.0,20.0,2590788692.28,0.023165018219677203,0.04580947423217063,1.4309156065972295,39.31,2026-05-08,0.015517679979649035,0.007631645891630567,-0.02060544390740271,0.0010175527855507127,False,0.09994272623138589,0.0,,,1.278933261860091,0.8529734993680681,1.4120502600169063,0.09994272623138589,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
2026-05-07,605123,111.81,114.3,110.52,112.42,5997368.0,,3.299465815398528,2026-04-30,2026-05-06,6.850832462310791,100e_300e,3.0,10.0,13389383566.0,0.017375565610859844,0.03438914027149309,1.5619092543125435,112.42,2026-05-08,0.04340864614837203,0.03638142679238565,-0.012631204412026364,-0.012631204412026364,True,0.10004121162167734,0.030290541932824988,,,1.8751017852390022,1.677841359061139,1.8469836922006033,0.06866179561605446,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
2026-05-07,600052,4.54,4.61,4.47,4.54,58276089.0,,2.3942698885232265,2026-04-30,2026-05-06,11.03514575958252,lt_50e,5.0,20.0,3807318281.91,0.006651884700665134,0.022172949002217335,1.7290814184567131,4.54,2026-05-08,0.03303964757709266,0.013215859030836885,-0.008810572687224627,0.011013215859030812,True,0.0990099009900991,0.004950495049504955,,,0.7276899971837976,0.9889175938338898,1.6480604396725103,0.0990099009900991,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
2026-05-07,603698,43.99,44.64,43.0,44.26,38961206.0,,1.598532411882563,2026-04-30,2026-05-06,9.741554260253906,100e_300e,3.0,10.0,23599639700.0,0.005223711106064011,0.013854190324778637,1.076161301276162,44.26,2026-05-08,0.0490284681427926,0.02010845006778128,-0.017171260732037896,-0.010393131495707197,True,0.10007505629221924,0.02001501125844385,,,1.4259241311121964,1.0380287066152294,1.3362223272202127,0.09269383697813116,False,True,0.029140648230746358,16.555,,,,,,,,,,,,,,
