date,cash,market_value,total_value
2024-07-12,8354335.762466028,0.0,8354335.762466028
2024-07-15,2784778.587488677,5470420.967216939,8255199.554705616
2024-07-16,4.656612873077393e-10,8346694.312386567,8346694.312386567
2024-07-17,2710697.158991392,5710321.439464519,8421018.59845591
2024-07-18,2942575.553794648,6193537.533588514,9136113.087383162
2024-07-19,5882787.824850732,3057502.996003621,8940290.820854353
2024-07-22,2941393.912425366,6253382.158586834,9194776.071012199
2024-07-23,6006055.081268642,2951576.6752803344,8957631.756548977
2024-07-24,0.0,9077625.6813939,9077625.6813939
2024-07-25,4.656612873077393e-10,9482331.973071955,9482331.973071955
2024-07-26,3288038.6184927253,6492772.45339112,9780811.071883846
2024-07-29,9782213.290967368,0.0,9782213.290967368
2024-07-30,9782213.290967368,0.0,9782213.290967368
2024-07-31,3260737.763655789,6891622.879203571,10152360.64285936
2024-08-01,6714456.592167607,3283066.896161277,9997523.488328883
2024-08-02,3350331.211072502,7066034.111457845,10416365.322530348
2024-08-05,3265866.7632582905,7172996.351123897,10438863.114382189
2024-08-06,0.0,10893231.297478572,10893231.297478572
2024-08-07,6864272.695317678,3857559.5701524396,10721832.265470117
2024-08-08,7121779.482765848,3671466.6983108246,10793246.181076672
2024-08-09,7121779.482765848,3671466.6983108246,10793246.181076672
2024-08-12,7241679.425099051,3482597.577022591,10724277.002121642
2024-08-13,7241679.425099051,3482597.577022591,10724277.002121642
2024-08-14,10681806.29996283,0.0,10681806.29996283
2024-08-15,3560602.0999876107,7146430.728235958,10707032.82822357
2024-08-16,6900888.343661555,3242001.487315749,10142889.830977304
2024-08-19,0.0,10257433.05894752,10257433.05894752
2024-08-20,3290169.804245999,6976932.587495711,10267102.39174171
2024-08-21,0.0,10644619.778366648,10644619.778366648
2024-08-22,9945595.421214743,0.0,9945595.421214743
2024-08-23,6630396.947476495,3424949.53740868,10055346.484885175
2024-08-26,3315198.4737382475,6663764.653247716,9978963.126985963
2024-08-27,9713093.086899448,0.0,9713093.086899448
2024-08-28,9713093.086899448,0.0,9713093.086899448
2024-08-29,3237697.69563315,6642896.24597434,9880593.94160749
2024-08-30,0.0,9906078.844535828,9906078.844535828
2024-09-02,-4.656612873077393e-10,10329885.10194647,10329885.10194647
2024-09-03,3335591.0161578623,7468094.92331069,10803685.939468551
2024-09-04,3516485.6278448035,6984754.299311614,10501239.927156417
2024-09-05,3428982.1250758423,6973375.2378293015,10402357.362905145
2024-09-06,6726322.880948035,3256643.031584805,9982965.91253284
2024-09-09,9900286.6818297,0.0,9900286.6818297
2024-09-10,9900286.6818297,0.0,9900286.6818297
2024-09-11,6600191.1212198,3453978.0139164776,10054169.135136276
2024-09-12,9935902.987161964,0.0,9935902.987161964
2024-09-13,9935902.987161964,0.0,9935902.987161964
2024-09-18,6623935.324774643,3230277.5327805597,9854212.857555203
2024-09-19,6623935.324774643,3320007.464246686,9943942.78902133
2024-09-20,6581439.229232285,3232628.792728895,9814068.02196118
2024-09-23,6581439.229232285,3425621.556473903,10007060.785706189
2024-09-24,6671373.857137458,3387989.008893524,10059362.866030982
2024-09-25,3344817.060714021,6806170.250009071,10150987.310723092
2024-09-26,4.656612873077393e-10,10276392.160884367,10276392.160884367
2024-09-27,0.0,10828822.385181112,10828822.385181112
2024-09-30,3842346.444207178,8013845.532877181,11856191.97708436
2024-10-08,7938122.438233217,3771696.3853145735,11709818.823547792
2024-10-09,11329999.28123274,0.0,11329999.28123274
2024-10-10,11329999.28123274,0.0,11329999.28123274
2024-10-11,7553332.8541551605,3576009.3331130245,11129342.187268184
2024-10-14,7759440.145643707,3839840.0258960524,11599280.17153976
2024-10-15,-4.656612873077393e-10,11553682.600425806,11553682.600425806
2024-10-16,0.0,12023647.230397012,12023647.230397012
2024-10-17,7775622.409701701,3854210.2977048303,11629832.707406532
2024-10-18,4.656612873077393e-10,12366266.858526085,12366266.858526085
2024-10-21,4.656612873077393e-10,13430987.967962125,13430987.967962125
2024-10-22,0.0,12985335.748626703,12985335.748626703
2024-10-23,0.0,12649327.665627703,12649327.665627703
2024-10-24,9.313225746154785e-10,13346246.002720658,13346246.002720658
2024-10-25,0.0,13826447.217318246,13826447.217318246
2024-10-28,4710559.492933228,9512943.583300501,14223503.07623373
2024-10-29,0.0,13859523.563512692,13859523.563512692
2024-10-30,0.0,15316691.372781271,15316691.372781271
2024-10-31,0.0,15989063.459546905,15989063.459546905
2024-11-01,1.862645149230957e-09,15392903.673790041,15392903.673790043
2024-11-04,0.0,15289309.428672422,15289309.428672422
2024-11-05,0.0,15477428.00500876,15477428.00500876
2024-11-06,1.862645149230957e-09,16054332.498893961,16054332.498893963
2024-11-07,1.862645149230957e-09,16678373.652400479,16678373.65240048
2024-11-08,5646298.453036734,11181617.042716019,16827915.49575275
2024-11-11,0.0,17542708.525752366,17542708.525752366
2024-11-12,11407187.536178514,5742284.500549269,17149472.036727782
2024-11-13,0.0,16916910.37485178,16916910.37485178
2024-11-14,0.0,15845446.607236745,15845446.607236745
2024-11-15,0.0,15771131.334257577,15771131.334257577
2024-11-18,0.0,15842915.760155268,15842915.760155268
2024-11-19,0.0,17619483.34029454,17619483.34029454
2024-11-20,9.313225746154785e-10,17785170.5812239,17785170.5812239
2024-11-21,5972591.15333758,12407085.894894943,18379677.04823252
2024-11-22,12118448.367673237,5635079.844371512,17753528.21204475
2024-11-25,0.0,18531303.902908865,18531303.902908865
2024-11-26,1.862645149230957e-09,17868335.470139805,17868335.47013981
2024-11-27,0.0,17992925.403448097,17992925.403448097
2024-11-28,2.7939677238464355e-09,17853682.61302577,17853682.613025773
2024-11-29,2.7939677238464355e-09,17966488.03862611,17966488.038626112
2024-12-02,0.0,18770288.25806661,18770288.25806661
2024-12-03,0.0,19008076.610402472,19008076.610402472
2024-12-04,0.0,19093837.402633823,19093837.402633823
2024-12-05,0.0,19839876.72305623,19839876.72305623
2024-12-06,2.7939677238464355e-09,20560704.040129423,20560704.040129427
2024-12-09,-9.313225746154785e-10,20374872.782352414,20374872.782352414
2024-12-10,0.0,20515709.867750082,20515709.867750082
2024-12-11,2.7939677238464355e-09,21624268.88352395,21624268.883523952
2024-12-12,2.7939677238464355e-09,21349537.456250556,21349537.45625056
2024-12-13,20866636.107493207,0.0,20866636.107493207
2024-12-16,20866636.107493207,0.0,20866636.107493207
2024-12-17,20866636.107493207,0.0,20866636.107493207
2024-12-18,20866636.107493207,0.0,20866636.107493207
2024-12-19,20866636.107493207,0.0,20866636.107493207
2024-12-20,20866636.107493207,0.0,20866636.107493207
2024-12-23,20866636.107493207,0.0,20866636.107493207
2024-12-24,-9.313225746154785e-10,20965135.617053803,20965135.617053803
2024-12-25,0.0,19579996.620021082,19579996.620021082
2024-12-26,-9.313225746154785e-10,20632432.85559258,20632432.85559258
2024-12-27,-9.313225746154785e-10,19596020.183315467,19596020.183315467
2024-12-30,0.0,20119624.87852031,20119624.87852031
2024-12-31,1.862645149230957e-09,18743673.679424576,18743673.679424576
