min_score,topk,sell_n,trailing_stop,take_profit,cooldown_after_stop,initial_cash,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,num_sells,sell_avg_return,sell_median_return
0.65,3,2,0.04,0.0,5,10000000.0,8646679.105331868,-0.1353320894668132,-0.14269649918237315,0.1264289400402172,-0.608171344823289,935,0.4248927038626609,466,5.247694104059658e-05,-0.013115293295371533
0.7,3,3,0.04,0.0,5,10000000.0,9974718.60152409,-0.0025281398475909267,-0.0026766547552343756,0.12505408617991057,-0.17531381981709748,146,0.3835616438356164,73,0.0014670480549067867,-0.018239399448712668
0.62,3,2,0.04,0.0,5,10000000.0,8533402.148043396,-0.14665978519566036,-0.1545837752902942,0.1224304568725846,-0.616950287264713,959,0.4205020920502092,478,2.056057527611383e-05,-0.012879394603075967
0.58,3,2,0.04,0.0,5,10000000.0,8421297.430393154,-0.15787025696068457,-0.16633890170223986,0.10280794329819028,-0.616950287264713,961,0.4196242171189979,479,-5.866116144243282e-05,-0.012961116650049731
0.6,3,2,0.04,0.0,5,10000000.0,8421297.430393154,-0.15787025696068457,-0.16633890170223986,0.10280794329819028,-0.616950287264713,961,0.4196242171189979,479,-5.866116144243282e-05,-0.012961116650049731
0.68,2,5,0.04,0.08,5,10000000.0,8867987.710989056,-0.11320122890109441,-0.11944604951256776,0.09800249312947973,-0.4423779708303738,458,0.4342105263157895,228,0.0004025211313874635,-0.015902336368569192
0.65,3,3,0.03,0.0,5,10000000.0,8376992.611755637,-0.1623007388244363,-0.17098210563872096,0.08083723182326724,-0.5840770819177756,905,0.3924611973392461,451,-2.275885087314692e-05,-0.018239927092317365
0.68,3,5,0.04,0.08,5,10000000.0,9191573.002250735,-0.08084269977492653,-0.08538924903233136,0.07063898860042048,-0.3613639176049954,633,0.43174603174603177,315,0.0006513063581251017,-0.012961116650049731
0.58,2,5,0.04,0.0,5,10000000.0,7813973.112936981,-0.21860268870630195,-0.22985897201451044,0.037254411648191536,-0.5307525118713315,510,0.35826771653543305,254,-0.00032864110237324466,-0.02643478389923265
0.6,2,5,0.04,0.0,5,10000000.0,7813973.112936981,-0.21860268870630195,-0.22985897201451044,0.037254411648191536,-0.5307525118713315,510,0.35826771653543305,254,-0.00032864110237324466,-0.02643478389923265
0.62,2,5,0.04,0.0,5,10000000.0,7813973.112936981,-0.21860268870630195,-0.22985897201451044,0.037254411648191536,-0.5307525118713315,510,0.35826771653543305,254,-0.00032864110237324466,-0.02643478389923265
0.7,2,3,0.04,0.0,5,10000000.0,9397848.14017202,-0.06021518598279807,-0.06364214168301907,-0.011326387031669724,-0.216562095962882,126,0.36507936507936506,63,-0.00020476500898064786,-0.021873772621529453
0.68,2,3,0.04,0.08,5,10000000.0,8271686.086581174,-0.17283139134188252,-0.1820125599121024,-0.013595378302014863,-0.4361582641319893,482,0.44166666666666665,240,-0.0001096506566179184,-0.013115293295371533
0.7,3,3,0.04,0.08,5,10000000.0,9702411.573438011,-0.02975884265619888,-0.031481522660775196,-0.029279951674233466,-0.17670825037567928,158,0.43037974683544306,79,-0.00013017335704855313,-0.0101948489790743
0.68,2,3,0.03,0.08,5,10000000.0,8315240.213102048,-0.16847597868979514,-0.17745142808597147,-0.03057185447336609,-0.49358268547232986,524,0.4329501915708812,261,-8.530016139822806e-05,-0.012702153280418571
0.58,2,2,0.03,0.08,5,10000000.0,7358511.425386157,-0.2641488574613843,-0.2773066070087067,-0.04582809732730052,-0.5552722782150727,746,0.43548387096774194,372,-0.0003609866638141934,-0.009882378526446411
0.6,2,2,0.03,0.08,5,10000000.0,7358511.425386157,-0.2641488574613843,-0.2773066070087067,-0.04582809732730052,-0.5552722782150727,746,0.43548387096774194,372,-0.0003609866638141934,-0.009882378526446411
0.62,2,2,0.03,0.08,5,10000000.0,7358511.425386157,-0.2641488574613843,-0.2773066070087067,-0.04582809732730052,-0.5552722782150727,746,0.43548387096774194,372,-0.0003609866638141934,-0.009882378526446411
0.65,3,5,0.03,0.0,5,10000000.0,7828206.070167409,-0.21717939298325906,-0.22837358258744878,-0.05346628034763916,-0.5799893325760233,851,0.37264150943396224,424,-0.0005416510622252139,-0.0220971305901832
0.62,3,2,0.03,0.08,5,10000000.0,7756299.613009221,-0.2243700386990779,-0.23587630065918597,-0.062025202944418545,-0.5322591365370737,1117,0.4524236983842011,557,-0.00025413054337397383,-0.009183629236514168
0.58,3,2,0.03,0.08,5,10000000.0,7659591.861429319,-0.2340408138570681,-0.2459603286966251,-0.0821656269135968,-0.5322591365370737,1119,0.45161290322580644,558,-0.00032164402145557554,-0.009242419764842635
0.6,3,2,0.03,0.08,5,10000000.0,7659591.861429319,-0.2340408138570681,-0.2459603286966251,-0.0821656269135968,-0.5322591365370737,1119,0.45161290322580644,558,-0.00032164402145557554,-0.009242419764842635
0.7,3,5,0.04,0.08,5,10000000.0,9546200.070412964,-0.04537999295870365,-0.04798433880017905,-0.10424062813195326,-0.17077101570264974,154,0.4155844155844156,77,-0.0006642734775589558,-0.0101948489790743
0.7,3,5,0.03,0.08,5,10000000.0,9527938.93581331,-0.04720610641866907,-0.04991248718185182,-0.12239698802948154,-0.17670825037567905,156,0.4230769230769231,78,-0.0008683051784995094,-0.009972629383330323
0.58,2,2,0.04,0.08,5,10000000.0,6838700.395048073,-0.3161299604951927,-0.33124638753353997,-0.13388616715487683,-0.5854325362210636,694,0.4421965317919075,346,-0.000817811408459972,-0.009599897213594943
0.6,2,2,0.04,0.08,5,10000000.0,6838700.395048073,-0.3161299604951927,-0.33124638753353997,-0.13388616715487683,-0.5854325362210636,694,0.4421965317919075,346,-0.000817811408459972,-0.009599897213594943
0.62,2,2,0.04,0.08,5,10000000.0,6838700.395048073,-0.3161299604951927,-0.33124638753353997,-0.13388616715487683,-0.5854325362210636,694,0.4421965317919075,346,-0.000817811408459972,-0.009599897213594943
